Name,NumberOfStocks,BuyingPrice,Date,TotalCost,ExtraCharges,BrokerageCost
RELIANCE,2,1920.0,2020-11-20,3844.98,0.0,4.98
SUNPHARMA,4,508.0,2020-11-19,2034.41,0.0,2.41
LT,5,1158.0,2020-11-19,5797.05,0.0,7.05
JAGSONPAL,10,72.0,2020-11-19,720.86,0.0,0.86
RELIANCE,1,2010.0,2020-11-11,2012.28,0.0,2.28
AXISBANK,7,585.0,2020-11-11,4099.94,0.0,4.94
ICICIBANK,10,478.0,2020-11-10,4785.96,0.0,5.96
RELIANCE,1,2000.0,2020-11-06,2002.38,0.0,2.38
IOLCP,5,695.0,2020-11-06,3479.13,0.0,4.13
DISHTV,100,11.8,2020-11-06,1181.89,0.0,1.89
HDFCBANK,1,1250.0,2020-11-04,1251.98,0.0,1.98
SBIN,50,206.0,2020-11-04,10310.96,0.0,10.96
RELIANCE,1,1894.1,2020-11-04,1896.35,0.0,2.25
ICICIBANK,20,416.0,2020-11-02,8329.79,0.0,9.79
RELIANCE,5,1955.0,2020-11-02,9786.88,0.0,11.88
IOLCP,3,737.0,2020-09-25,2213.05,0.0,2.05
IOLCP,10,822.25,2020-09-16,8231.67,0.0,9.17
IOLCP,15,777.0,2020-09-15,11669.25,0.0,14.25
HDFCBANK,5,1110.6,2020-09-04,5560.0,0.0,7.0
IOLCP,6,754.6,2020-09-04,4532.96,0.0,5.36
IOLCP,7,770.9,2020-08-31,5402.41,0.0,6.11
DISHTV,200,12.5,2020-08-28,2502.5,0.0,2.5
IOLCP,4,855.0,2020-08-28,3424.05,0.0,4.05
HDFCBANK,5,1102.35,2020-08-28,5518.58,0.0,6.83
HDFCBANK,5,1030.0,2020-07-31,5156.19,0.0,6.19
RELIANCE,10,2125.0,2020-07-29,21274.12,0.0,24.12
IOLCP,5,740.0,2020-07-22,3705.13,0.0,5.13
IOLCP,23,770.52,2020-07-21,17743.36,0.0,21.4
SBIN,13,198.4,2020-07-10,2582.3,0.0,3.1
INFY,3,779.0,2020-07-08,2339.08,0.0,2.08
SBIN,10,198.7,2020-03-26,1987.0,20.0,20.0
SBICARDS,19,755.0,2020-03-20,14345.0,0.0,0.0
ONGC,10,74.55,2020-03-09,746.6,0.0,1.1
YESBANK,1,37.1,2020-03-05,37.11,0.0,0.01
SBIN,3,311.0,2020-02-03,934.13,0.0,1.13
